ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Molecular Species;Molecular Formula;Smiles;Inchi Key
CHEMBL3989581;DOPEXAMINE HYDROCHLORIDE;DOPEXAMINE DIHYDROCHLORIDE|DOPEXAMINE HCL|DOPEXAMINE HYDROCHLORIDE|Dopacard|FPL 60278AR|FPL-60278AR;Small molecule;4;429.43;;;3.62;64.52;4;4;0;13;N;0.33;10.71;10.14;2.98;-0.96;2;MOL;0;26;4;4;0;3.562.464;BASE;C22H34Cl2N2O2;Cl.Cl.Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O;VPDULUNRSQWWJB-UHFFFAOYSA-N
CHEMBL1200440;MEPIVACAINE HYDROCHLORIDE;ARESTOCAINE HYDROCHLORIDE|Carbocaine|ISOCAINE HYDROCHLORIDE|MEPIVACAINE HCL|MEPIVACAINE HYDROCHLORIDE|MEPIVACAINE MONOHYDROCHLORIDE|NSC-758674|OPTOCAIN|POLOCAINE-MPF|Polocaine|SCANDICAIN|SCANDICAINE|SCANDONEST|SCANDONEST PLAIN;Small molecule;4;282.82;22;22;2.73;32.34;2;1;0;2;Y;0.87;13.62;7.25;3.19;2.96;1;MOL;0;18;3;1;0;2.461.732;NEUTRAL;C15H23ClN2O;Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl;RETIMRUQNCDCQB-UHFFFAOYSA-N
CHEMBL462394;METRIZAMIDE;Amipaque|METRIZAMIDE|TELEBRIX 300|WIN 39103|WIN-39103;Small molecule;4;789.10;3;7;-0.03;168.66;8;6;2;5;N;0.23;11.44;None;-0.24;-0.24;1;MOL;0;32;11;6;3;7.888.541;NEUTRAL;C18H22I3N3O8;CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I;BAQCROVBDNBEEB-UBYUBLNFSA-N
CHEMBL1578;ANISOTROPINE METHYLBROMIDE;ANISOTROPINE METHYLBROMIDE|METHYLOCTATROPINE BROMIDE|OCTATROPINE METHYLBROMIDE|OCTATROPONE BROMIDE|OCTOTROPINE METHYLBROMIDE|VALPIN 50|Valpin;Small molecule;4;362.35;23;32;3.52;26.30;2;0;0;6;N;0.55;None;None;-0.67;-0.67;0;MOL;0;20;3;0;0;2.822.428;None;C17H32BrNO2;CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C.[Br-];QSFKGMJOKUZAJM-CNKDKAJDSA-M
CHEMBL1186610;ANISOTROPINE;Anisotropine|OCTATROPINE;Small molecule;4;282.45;4;7;3.52;26.30;2;0;0;6;N;0.55;None;None;-0.67;-0.67;0;MOL;0;20;3;0;0;2.822.428;None;C17H32NO2+;CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C;XGGHHHBGPSNXFE-ZSHCYNCHSA-N
CHEMBL2355456;IBUTILIDE FUMARATE;Corvert|IBUTILIDE FUMARATE|U-70226E;Small molecule;4;885.24;4;7;4.16;69.64;4;2;0;14;N;0.47;9.72;10.40;2.54;0.53;1;MOL;0;26;5;2;0;3.842.447;BASE;C44H76N4O10S2;CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O;PCIOHQNIRPWFMV-WXXKFALUSA-N
CHEMBL2096660;SAMARIUM SM 153 LEXIDRONAM PENTASODIUM;153SM|CYT-424|Quadramet|SAMARIUM (153 SM) LEXIDRONAM PENTASODIUM|SAMARIUM (153SM) LEXIDRONAM|SAMARIUM SM 153 LEXIDRONAM PENTASODIUM|SAMARIUM SM 153 LEXIDRONAM PENTASODIUM SALT|SAMARIUM SM-153 LEXIDRONAM PENTASODIUM|SM-153 EDTMP PENTASODIUM|Samarium sm-153 lexidronam|Samarium sm-153 lexidronam pentasodium;Small molecule;4;695.93;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;6.948.026;None;C6H12N2Na5O12P4Sm;;
CHEMBL3707282;MAGNESIUM OROTATE;MAGNEROT CLASSIC|MAGNESIUM OROTATE|OROTATE MAGNESIUM|OROTIC ACID, MAGNESIUM SALT;Small molecule;4;334.48;;;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;3.340.036;None;C10H6MgN4O8;O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.[Mg+2];QWLHYYKDLOVBNV-UHFFFAOYSA-L
CHEMBL24944;TRIBROMSALAN;ET-394|NSC-20526|TEMASEPT IV|TRIBROMSALAN|Tribromsalan|Tuasol 100|WR-34912;Small molecule;4;449.92;140;953;4.93;49.33;2;2;0;2;N;0.68;6.16;None;5.07;3.86;2;MOL;0;19;3;2;0;4.468.105;ACID;C13H8Br3NO2;O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O;KVSKGMLNBAPGKH-UHFFFAOYSA-N
CHEMBL1529;DIPHENIDOL HYDROCHLORIDE;CEPHADOL|DIPHENIDOL HCL|DIPHENIDOL HYDROCHLORIDE|NSC-23012|SK&F 478-A|SK-478-A|Vontrol;Small molecule;4;345.91;18;31;4.19;23.47;2;1;0;6;N;0.86;13.40;9.23;4.22;2.39;2;MOL;0;23;2;1;0;3.092.093;BASE;C21H28ClNO;Cl.OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1;AVZIYZHXZAYGJS-UHFFFAOYSA-N
CHEMBL1200623;ETHYLESTRENOL;DURABOLIN-O|DURABORAL|ETHYLESTRENOL|ETHYLNANDROL|ETHYLOESTRENOL|Maxibolin|NSC-37726|ORABOLIN;Small molecule;4;288.48;121;467;5.09;20.23;1;1;1;1;N;0.67;None;None;4.69;4.69;0;MOL;0;21;1;1;1;2.882.453;NEUTRAL;C20H32O;CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C;AOXRBFRFYPMWLR-XGXHKTLJSA-N
CHEMBL1098319;MESNA;D 7093|MESNA|Mesnex;Small molecule;4;142.20;1;2;-0.20;54.37;3;2;0;2;Y;0.41;-1.16;None;-0.40;-2.78;0;MOL;0;7;3;1;0;1.419.758;ACID;C2H6O3S2;O=S(=O)(O)CCS;ZNEWHQLOPFWXOF-UHFFFAOYSA-N
CHEMBL1200779;TROVAFLOXACIN MESYLATE;CP-99,219-27|CP-99219-27|TROVAFLOXACIN MESILATE|TROVAFLOXACIN MESYLATE|TROVAFLOXACIN METHANESULFONATE|Trovafloxacin sulfate|Trovan;Small molecule;4;512.47;4;18;1.89;101.45;6;2;0;3;N;0.68;5.22;9.44;0.14;0.14;3;MOL;0;30;7;3;0;4.161.096;ZWITTERION;C21H19F3N4O6S;CS(=O)(=O)O.N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12;DYNZICQDCVYXFW-AHZSKCOESA-N
CHEMBL1201217;DYCLONINE;DYCLONINE;Small molecule;4;289.42;21;29;3.92;29.54;3;0;0;8;N;0.54;None;8.36;3.68;2.67;1;MOL;0;21;3;0;0;2.892.042;NEUTRAL;C18H27NO2;CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1;BZEWSEKUUPWQDQ-UHFFFAOYSA-N
CHEMBL3989754;FLURBIPROFEN SODIUM;Ansaid|FLURBIPROFEN SODIUM|FLURBIPROFEN SODIUM ANHYDROUS|FLURBIPROFEN SODIUM DIHYDRATE|Occufen|Ocufen|Zepolas;Small molecule;4;302.28;;;3.68;37.30;1;1;0;3;N;0.89;4.42;None;3.94;1.07;2;MOL;0;18;2;1;0;2.440.900;ACID;C15H16FNaO4;CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+];GNMBMOULKUXEQF-UHFFFAOYSA-M
CHEMBL1200549;RAPACURONIUM BROMIDE;ORG 9487|ORG-9487|RAPACURONIUM BROMIDE|Raplon;Small molecule;4;677.81;1;8;6.91;55.84;5;0;2;7;N;0.18;None;9.65;2.32;0.10;0;MOL;0;43;6;0;2;5.974.626;BASE;C37H61BrN2O4;C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-];LVQTUXZKLGXYIU-GWSNJHLMSA-M
CHEMBL1201041;AZLOCILLIN SODIUM;AZLOCILLIN SODIUM|AZLOCILLIN SODIUM SALT|Azlin|Azlocillin sodium|BAY-E 6905|BAY-E-6905|SECUROPEN;Small molecule;4;483.48;9;14;0.09;148.15;6;4;0;5;N;0.45;3.49;None;-0.33;-3.70;1;MOL;0;32;11;4;1;4.611.369;ACID;C20H22N5NaO6S;CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+];UVOCNBWUHNCKJM-XFAPPKAWSA-M
CHEMBL1909282;FENCLOZIC ACID;FENCLOZIC ACID|I.C.I. 54,450|ICI-54450;Small molecule;4;253.71;9;17;3.09;50.19;3;1;0;3;N;0.91;4.25;2.01;3.28;0.28;2;MOL;0;16;3;1;0;2.529.964;ACID;C11H8ClNO2S;O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1;APBSKHYXXKHJFK-UHFFFAOYSA-N
CHEMBL443605;HEXYLRESORCINOL;E-586|HEXYLRESORCINOL|Hexylresorcinol|INS NO.586|INS-586|SUCRETS;Small molecule;4;194.27;94;142;3.22;40.46;2;2;0;5;N;0.71;9.55;None;4.10;4.10;1;MOL;0;14;2;2;0;1.941.307;NEUTRAL;C12H18O2;CCCCCCc1ccc(O)cc1O;WFJIVOKAWHGMBH-UHFFFAOYSA-N
CHEMBL1201294;DIPHENOXYLATE;DIPHENOXYLATE|Diphenoxylate|IDS-ND-016;Small molecule;4;452.60;10;14;5.48;53.33;4;0;1;8;N;0.42;None;8.50;5.88;4.76;3;MOL;0;34;4;0;1;4.522.464;NEUTRAL;C30H32N2O2;CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1;HYPPXZBJBPSRLK-UHFFFAOYSA-N
CHEMBL2104594;CALCIUM GLUBIONATE;CALC-SANDOZ|CALCIUM GLUBIONATE|CALCIUM GLUCONOGALACTOGLUCONATE|GLUBIONATE CALCIUM|Neo-Calglucon;Small molecule;4;610.53;;;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;5.921.164;None;C18H34CaO20;O.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2];OKRXSXDSNLJCRS-NLOQLBMISA-L
CHEMBL2219740;CALCIUM GLUBIONATE;CALCIUM GLUBIONATE|Neo-Calglucon;Small molecule;4;592.51;;;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;5.921.164;None;C18H32CaO19;O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2];YPCRNBPOUVJVMU-LCGAVOCYSA-L
CHEMBL2111129;PENTETATE INDIUM DISODIUM;;Small molecule;4;615.20;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;6.149.585;None;C14H21CaInN3Na3O10;;
CHEMBL2110568;CHROMIC PHOSPHATE;;Small molecule;4;146.97;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;1;None;None;None;None;1.468.939;None;CrO4P;;
CHEMBL1201227;CYCRIMINE;CYCRIMINE|Cycrimine;Small molecule;4;287.45;1;4;3.94;23.47;2;1;0;5;N;0.89;13.84;9.32;3.79;1.87;1;MOL;0;21;2;1;0;2.872.249;BASE;C19H29NO;OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1;SWRUZBWLEWHWRI-UHFFFAOYSA-N
CHEMBL1200698;PENTETATE CALCIUM TRISODIUM YB 169;169YB|COMPOUND 24266|MATERIAL A|MATERIAL-A|MRP-10|PENTETATE CALCIUM TRISODIUM YB 169|PENTETATE CALCIUM TRISODIUM YB-169|YTTERBIUM YB 169 DTPA|YTTERBIUM YB-169 DTPA;Small molecule;4;666.29;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;6.709.700;None;C14H18CaN3Na3O10Yb;;
CHEMBL1200835;TECHNETIUM TC 99M ETIDRONATE;CINTICHEM TECHNETIUM 99M HEDSPA|MPI STANNOUS DIPHOSPHONATE|OSTEOSCAN|TECHNETIUM TC 99M DIPHOSPHONATE-TIN KIT|TECHNETIUM TC 99M ETIDRONATE|TECHNETIUM TC-99M ETIDRONATE|TECHNETIUM TC-99M ETIDRONATE KIT|Technetium tc-99m etidronate kit;Small molecule;4;304.93;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;3.028.809;None;C2H8O7P2Tc;;
CHEMBL4302512;THALLOUS CHLORIDE;NSC-15197|THALLIUM CHLORIDE (TLCL);Small molecule;4;243.87;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;1;None;None;None;None;2.439.746;None;H4ClTl;;
CHEMBL1200797;TECHNETIUM TC 99M SUCCIMER;99MTC-DMSA|DMSA Kidney Reagent|MPI DMSA KIDNEY REAGENT|TECHNETIUM (99MTC) DIMERCAPTOSUCCINIC ACID FOR INJECTION|TECHNETIUM (99MTC) SUCCIMER|TECHNETIUM TC 99M SUCCIMER|TECHNETIUM TC-99M SUCCIMER|TECHNETIUM TC-99M SUCCIMER KIT|TECHNETIUM-99-DMSA|Technetium (99Mtc) Succimer;Small molecule;4;281.13;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;2.788.771;None;C4H6O4S2Tc;;
CHEMBL4300153;PSMA-HBED-CC;;Small molecule;4;1013.70;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;10.123.192;None;C44H59GaN6O17;;
CHEMBL2142890;ACEGLUMATE;;Small molecule;4;189.17;2;4;-0.56;103.70;3;3;0;5;N;0.54;3.43;None;-1.11;-7.51;0;MOL;0;13;6;3;0;1.890.637;ACID;C7H11NO5;CC(=O)NC(CCC(=O)O)C(=O)O;RFMMMVDNIPUKGG-UHFFFAOYSA-N
CHEMBL1200357;MOXALACTAM DISODIUM;DISODIUM LATAMOXEF|LATAMOXEF DISODIUM|LATAMOXEF SODIUM|LATAMOXEFUM DINATRICUM|LY-127935|LY127935|MOXALACTAM DISODIUM|MOXALACTAM DISODIUM SALT|Moxam|NSC-757107|SHIOMARIN|Shiomarin;Small molecule;4;564.44;18;51;-1.13;206.30;12;4;2;9;N;0.13;2.81;None;0.17;-6.72;2;MOL;0;36;15;4;2;5.201.012;ACID;C20H18N6Na2O9S;CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+];GRIXGZQULWMCLU-HUTAOCTPSA-L
CHEMBL1200970;ETHOPROPAZINE HYDROCHLORIDE;ETHOPROPAZINE HCL|ETHOPROPAZINE HYDROCHLORIDE|NSC-169467|NSC-64074|PROFENAMINE|PROFENAMINE HIBENZATE|PROFENAMINE HYDROCHLORIDE|PROPHENAMINE HYDROCHLORIDE|Parsidol;Small molecule;4;348.94;25;55;5.02;6.48;3;0;1;5;N;0.77;None;9.60;5.00;2.82;2;MOL;0;22;2;0;1;3.121.660;BASE;C19H25ClN2S;CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21.Cl;VXPCQISYVPFYRK-UHFFFAOYSA-N
CHEMBL1201291;IOXAGLIC ACID;HEXABRIX 320|IOXAGLATE|IOXAGLIC ACID|P-286;Small molecule;4;1268.88;11;33;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;12.685.659;None;C24H21I6N5O8;CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I;TYYBFXNZMFNZJT-UHFFFAOYSA-N
CHEMBL544;MEQUINOL;"4-HYDROXYANISOLE|4-METHOXYPHENOL|4HA|BMS-181158|HQMME; HYDROXYQUINONE METHYL ETHER|LEUCOBASAL|LEUCODINE B|MECHINOLUM|MENTHYL ANTHRANILATE|MEQUINOL|NOVO-DERMOQUINONA|NSC-4960|P-GUAIACOL|P-HYDROXYANISOLE";Small molecule;4;124.14;72;114;1.40;29.46;2;1;0;1;Y;0.61;9.94;None;1.51;1.51;1;MOL;0;9;2;1;0;1.240.524;NEUTRAL;C7H8O2;COc1ccc(O)cc1;NWVVVBRKAWDGAB-UHFFFAOYSA-N
CHEMBL1200828;CYCRIMINE HYDROCHLORIDE;CYCRIMINE HCL|CYCRIMINE HYDROCHLORIDE|Cycrimine hydrochloride|NSC-169452|Pagitane;Small molecule;4;323.91;;;3.94;23.47;2;1;0;5;N;0.89;13.84;9.32;3.79;1.87;1;MOL;0;21;2;1;0;2.872.249;BASE;C19H30ClNO;Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1;WBCWFMFZMRFRLT-UHFFFAOYSA-N
CHEMBL449;BUTABARBITAL;BUTABARBITAL|BUTABARBITAL CIII|BUTATAB|Butabarbital|MEDARSED|NILOX|SEC-BUTOBARBITONE|SECBUTABARBITAL|SECBUTOBARBITONE|UNICELLES;Small molecule;4;212.25;5;11;0.79;75.27;3;2;0;3;N;0.68;7.48;None;1.45;1.19;0;MOL;0;15;5;2;0;2.121.161;NEUTRAL;C10H16N2O3;CCC(C)C1(CC)C(=O)NC(=O)NC1=O;ZRIHAIZYIMGOAB-UHFFFAOYSA-N
CHEMBL404422;BUTETHAL;BUTETHAL|BUTOBARBITAL|BUTOBARBITONE|Butobarbital|NSC-229336|Neonal|SONERYL;Small molecule;4;212.25;7;12;0.94;75.27;3;2;0;4;N;0.68;7.48;None;1.61;1.35;0;MOL;0;15;5;2;0;2.121.161;NEUTRAL;C10H16N2O3;CCCCC1(CC)C(=O)NC(=O)NC1=O;STDBAQMTJLUMFW-UHFFFAOYSA-N
CHEMBL2110562;CHLORMERODRIN;CHLORMERODRIN|CHLORMEROPRIN|Mercloran|NSC-19911|Neohydrin;Small molecule;4;367.20;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;3.680.215;None;C5H11ClHgN2O2;;
CHEMBL2104771;REPROTEROL HYDROCHLORIDE;ASMATEROLO|BRONCHODIL|BRONCHOSPASMIN|D-1959.HCL|REPROTEROL HYDROCHLORIDE|W-2946M;Small molecule;4;425.87;;;-0.44;134.54;10;4;0;7;N;0.40;8.84;9.66;-1.19;-2.34;3;MOL;0;28;10;4;0;3.891.699;BASE;C18H24ClN5O5;Cl.Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O;XSFWDHONRBZVEJ-UHFFFAOYSA-N
CHEMBL2096641;SODIUM PERTECHNETATE TC 99M;MINITEC|PERTECHNETATE (99MTC) SODIUM|PERTECHNETATE SODIUM TC-99M|Pertscan-99m|RADIOGENIX SYSTEM|SODIUM PERTECHNETATE (99M TC)|SODIUM PERTECHNETATE (99MTC) INJECTION|SODIUM PERTECHNETATE (NA99MTCO4)|SODIUM PERTECHNETATE (TC 99M)|SODIUM PERTECHNETATE TC 99M|SODIUM PERTECHNETATE TC-99M|SODIUM PERTECHNETIUM (99MTC) INJECTION|TECHNELITE|TECHNETIUM (99MTC) PERTECHNETATE|TECHNETIUM TC 99M GENERATOR|TECHNETIUM TC-99M SODIUM PERTECHNETATE|TECHNETIUM TC-99M SODIUM PERTECHNETATE GENERATOR|Tc 99m Generator|Technetium (99Mtc) Pertechnetate|Technetium tc-99m sodium pertechnetate generator|Ultra-Technekow FM;Small molecule;4;185.89;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;1;None;None;None;None;1.838.758;None;NaO4Tc;;
CHEMBL1201347;ANILERIDINE;ADOPOL|ALIDINE|ANILERIDINE|APIDOL|IDS-NA-012|LERITIN|NIPECOTAN;Small molecule;4;352.48;4;10;3.41;55.56;4;1;0;6;N;0.64;None;8.88;3.64;2.15;2;MOL;0;26;4;2;0;3.522.151;BASE;C22H28N2O2;CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1;LKYQLAWMNBFNJT-UHFFFAOYSA-N
CHEMBL3544908;AZATADINE MALEATE;AZATADINE DIMALEATE|AZATADINE MALEATE|LERGOCIL|NSC-759874|Optimine|SCH 10649|SCH-10649;Small molecule;4;522.55;2;4;3.71;16.13;2;0;0;0;N;0.74;None;7.91;3.75;3.12;2;MOL;0;22;2;0;0;2.901.783;NEUTRAL;C28H30N2O8;CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O;SGHXFFAHXTZRQM-SPIKMXEPSA-N
